Issue Key,Rule Score,ML Score,Hybrid Score,Tier,Explanation,Summary,Acceptance criteria,Description
AML-856,100,0.16,60.07,BAD,Semantic hollowness: Vague statement detected,Implement the changes from the discussion,Given discussion happened When I implement Then the stories should be ready for sprint,As a developer I want to implement the changes that we discussed in the grooming session so that the backlog is ready
AML-859,100,0.05,60.02,BAD,Semantic hollowness: Vague statement detected,Complete the work from the bug list,Given bugs exist When I complete them Then the product should be more stable,As a developer I want to complete the work from the bug list so that the product is stable
AML-862,100,0.09,60.04,BAD,Semantic hollowness: Vague statement detected,Do the needful for the database optimization,Given slow queries exist When I do the needful Then the response time should improve,As a developer I want to do the needful to optimize the database queries so that performance improves
AML-865,100,0.37,60.15,BAD,Semantic hollowness: Vague statement detected,Address the feedback from the performance test,Given performance issues exist When I address them Then the system should meet SLAs,As a developer I want to address the feedback from the performance test so that the system meets SLAs
AML-868,100,0.16,60.07,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the test report,Given test report exists When I make changes Then the tests should pass,As a developer I want to make the changes as per the test report findings so that the system passes testing
AML-871,100,0.19,60.08,BAD,Semantic hollowness: Vague statement detected,Implement the solution as per the prototype,Given prototype exists When I implement Then it should match the prototype,As a developer I want to implement the solution as per the prototype that was demonstrated so that users get what they saw
AML-874,100,0.33,60.13,BAD,Semantic hollowness: Vague statement detected,Complete the tasks from the dependency list,Given blocking tasks exist When I complete them Then the dependent teams can move forward,As a developer I want to complete the tasks that are blocking other teams so that they can proceed
AML-877,100,0.42,60.17,BAD,Semantic hollowness: Vague statement detected,Do what was agreed in the sign-off meeting,Given agreement exists When I do it Then the release should be approved,As a developer I want to do what was agreed in the sign-off meeting so that the release can proceed
AML-880,100,0.15,60.06,BAD,Semantic hollowness: Vague statement detected,Address the concerns from the vendor assessment,Given vendor findings exist When I address them Then the integration should be smooth,As a developer I want to address the concerns from the vendor assessment so that the integration works
AML-882,100,0.31,60.12,BAD,Semantic hollowness: Vague statement detected,Do whatever is needed for the milestone,Given milestone is approaching When I do whatever is needed Then the milestone should be met,As a developer I want to do whatever is needed to achieve the project milestone so that we stay on track
AML-885,100,0.07,60.03,BAD,Semantic hollowness: Vague statement detected,Address the feedback from the review board,Given review comments exist When I address them Then the board should approve,As a developer I want to address the feedback from the review board so that the design is approved
AML-888,100,0.16,60.07,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the user feedback,Given feedback exists When I make changes Then the users should approve,As a developer I want to make the changes as per the user feedback collected during the demo so that users are satisfied
AML-891,100,0.15,60.06,BAD,Semantic hollowness: Vague statement detected,Implement the solution as per the meeting notes,Given meeting notes exist When I implement Then it should match the design,As a developer I want to implement the solution as per the meeting notes from the architecture session so that the design is followed
AML-894,100,0.14,60.06,BAD,Semantic hollowness: Vague statement detected,Complete the work from the requirements document,Given requirements exist When I complete Then all should be satisfied,As a developer I want to complete the work from the requirements document so that all requirements are implemented
AML-897,100,0.04,60.02,BAD,Semantic hollowness: Vague statement detected,Do the needful for the integration test,Given test requirements exist When I do the needful Then the integration test should pass,As a developer I want to do the needful to prepare for the integration test so that the testing can proceed
AML-900,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Address the concerns from the code quality report,Given quality report exists When I address them Then the code should be cleaner,As a developer I want to address the concerns from the code quality report so that the code meets standards
AML-903,100,0.29,60.12,BAD,Semantic hollowness: Vague statement detected,Make it work like the sample application,Given sample exists When I implement Then it should behave similarly,As a developer I want to make it work like the sample application that was shown so that we follow best practices
AML-906,100,0.09,60.04,BAD,Semantic hollowness: Vague statement detected,Implement the changes from the design session,Given design session output exists When I implement Then it should match the design,As a developer I want to implement the changes from the design session that was conducted last week so that the design is implemented
AML-909,100,0.05,60.02,BAD,Semantic hollowness: Vague statement detected,Complete the work from the iteration plan,Given iteration plan exists When I complete Then the iteration should be successful,As a developer I want to complete the work from the iteration plan so that we deliver the iteration goals
AML-912,100,0.13,60.05,BAD,Semantic hollowness: Vague statement detected,Do what was specified in the requirement traceability matrix,Given RTM exists When I do it Then all requirements should be implemented,As a developer I want to do what was specified in the requirement traceability matrix so that all requirements are covered
AML-915,100,0.28,60.11,BAD,Semantic hollowness: Vague statement detected,Address the feedback from the operational review,Given feedback exists When I address it Then the operations team should approve,As a developer I want to address the feedback from the operational review so that the system is operations-ready
AML-918,100,1.61,60.64,BAD,Semantic hollowness: Vague statement detected,Make the changes as per the lessons learned document,Given lessons document exists When I make changes Then the same mistakes should not repeat,As a developer I want to make the changes as per the lessons learned document so that past mistakes are avoided
AML-921,100,0.14,60.05,BAD,Semantic hollowness: Vague statement detected,Implement the solution as per the technical specification document,Given spec document exists When I implement Then it should match the spec,As a developer I want to implement the solution as per the technical specification document that was approved so that the implementation is correct
AML-924,100,0.39,60.15,BAD,Semantic hollowness: Vague statement detected,Complete the work from the project closure checklist,Given closure checklist exists When I complete Then the project should be ready for closure,As a developer I want to complete the work from the project closure checklist so that the project can be closed
